"","X","team","year","age","height","weight","career_games_played","career_goals","season_games_played","season_goals"
"1",1,"Hawthorn 2014",2014,23.5652173913043,187.586956521739,86.2391304347826,65.0869565217391,39.7608695652174,11.9565217391304,9.08695652173913
"2",1,"Hawthorn 2015",2015,23.7608695652174,188.108695652174,86.2173913043478,74.4565217391304,48.2826086956522,12.4347826086957,9.26086956521739
"3",1,"Western Bulldogs",2016,23.0681818181818,187.090909090909,84.25,57.1590909090909,28.3863636363636,13,7.36363636363636
"4",1,"Richmond 2017",2017,23.5555555555556,187.177777777778,84.4444444444444,62.4666666666667,35.5777777777778,12.2222222222222,7.35555555555556
"5",1,"West Coast",2018,23.3333333333333,187.622222222222,83.3111111111111,63.9333333333333,48.6444444444444,12.2222222222222,7.46666666666667
"6",1,"Richmond 2019",2019,23.5434782608696,186.826086956522,83.3478260869565,68.0652173913043,47.1304347826087,11.9565217391304,7
"7",1,"Richmond 2020",2020,23.6363636363636,186.840909090909,82.8636363636364,68.8181818181818,49.4545454545455,10.5,4.59090909090909
"8",1,"Melbourne",2021,24.1111111111111,186.977777777778,83.2444444444444,65.0222222222222,34.5333333333333,12.7777777777778,7.17777777777778
"9",1,"Geelong",2022,25,188,83.8863636363636,94.4090909090909,71.4772727272727,13.0681818181818,8.15909090909091
"10",1,"Collingwood",2023,24.4545454545455,188.477272727273,82.0681818181818,72.8409090909091,45.8636363636364,13.5909090909091,7.86363636363636
